population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,45,Bulgaria,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,24.1318284786494,25.538026223274375,22.54210039323684
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,21.931446810461736,23.980151570273616,20.494696915375048
1,All Population,1,Deaths,57,Belarus,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,29.06961606896099,30.737507279368348,27.339945092676935
1,All Population,1,Deaths,58,Estonia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,28.527396214770338,30.643745572423445,26.518153428676243
1,All Population,1,Deaths,61,Republic of Moldova,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,33.54960278981197,36.03525261016383,31.665838294753158
1,All Population,1,Deaths,62,Russian Federation,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,90.66728467379657,95.68752903653885,85.25625814752084
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,3.466195066248974,4.093060274034618,2.9591659870517697
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,8.494850943150656,9.300456892167427,7.729961814551748
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,2.5768934025028183,2.8106167712056562,2.350835038648319
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,8.838236205559284,9.695341629109732,8.030003579928433
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,5.1991381826790395,5.499244525938628,4.9334010697005946
1,All Population,1,Deaths,56,Eastern Europe,3,Both,22,All ages,973,Substance use disorders,3,Rate,2002,38.89189655331441,41.20640425706264,36.79716657148488
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,973,Substance use disorders,3,Rate,2001,3.410352154191892,4.038857205734475,2.935286686274768
